Register Type,Address,Name,Description,Data Type,Units,Scaling,Access,Function Codes
Coil,10,CHARGE_FET_ALLOWED,Charge FET status control,Boolean,-,Direct,R/W,"01,05,0F"
Coil,11,DISCHG_FET_ALLOWED,Discharge FET status control,Boolean,-,Direct,R/W,"01,05,0F"
Coil,12,RESET_FLAG,System reset flag,Boolean,-,Direct,R/W,"01,05,0F"
Coil,13,FG_RESET,Fuel gauge reset (write-only),Boolean,-,Direct,W,"05,0F"
Coil,14,FG_SEALED,Fuel gauge seal status,Boolean,-,Direct,R/W,"01,05,0F"
Coil,15,FG_FULL_SEALED,Fuel gauge full seal status,Boolean,-,Direct,R/W,"01,05,0F"
Coil,16,REBALANCE_MODE,Engine rebalance mode enable,Boolean,-,Direct,R/W,"01,05,0F"
Coil,17,RSVD_17,Reserved coil 17,Boolean,-,Direct,R,"01"
Coil,18,LT_ENABLE,LT8491 enable control,Boolean,-,Direct,R,"01"
Coil,19,FG_PROGRAM_CMD,FG program calibration command,Boolean,-,Direct,R/W,"01,05,0F"
Coil,20,FG_CC_OFFSET_CMD,FG CC offset calibration command,Boolean,-,Direct,R/W,"01,05,0F"
Coil,21,FG_BOARD_OFFSET_CMD,FG board offset calibration command,Boolean,-,Direct,R/W,"01,05,0F"
Coil,22,FG_VOLTAGE_CMD,FG voltage calibration command,Boolean,-,Direct,R/W,"01,05,0F"
Coil,23,FG_CURRENT_CMD,FG current calibration command,Boolean,-,Direct,R/W,"01,05,0F"
Coil,24,STORE_SN,Store serial number command,Boolean,-,Direct,W,"05,0F"
Coil,25,ENTER_BOOT,Enter bootloader command,Boolean,-,Direct,W,"05,0F"
Discrete Input,8-15,AFE_SYS_STAT,AFE system status bits,Bit Field,-,Direct,R,"02"
Discrete Input,16-23,AFE_CELLBAL1,AFE cell balance register 1,Bit Field,-,Direct,R,"02"
Discrete Input,24-31,AFE_CELLBAL2,AFE cell balance register 2,Bit Field,-,Direct,R,"02"
Discrete Input,32-39,AFE_CELLBAL3,AFE cell balance register 3,Bit Field,-,Direct,R,"02"
Discrete Input,40-47,AFE_SYS_CTRL1,AFE system control 1,Bit Field,-,Direct,R,"02"
Discrete Input,48-55,AFE_SYS_CTRL2,AFE system control 2,Bit Field,-,Direct,R,"02"
Discrete Input,56-63,AFE_PROTECT1,AFE protection register 1,Bit Field,-,Direct,R,"02"
Discrete Input,64-71,AFE_PROTECT2,AFE protection register 2,Bit Field,-,Direct,R,"02"
Discrete Input,72-79,AFE_PROTECT3,AFE protection register 3,Bit Field,-,Direct,R,"02"
Discrete Input,80-87,AFE_OV_TRIP,AFE overvoltage trip,Bit Field,-,Direct,R,"02"
Discrete Input,88-95,AFE_UV_TRIP,AFE undervoltage trip,Bit Field,-,Direct,R,"02"
Discrete Input,96-103,AFE_CC_CFG,AFE coulomb counter config,Bit Field,-,Direct,R,"02"
Discrete Input,104-111,FG_CONTROL_STATUS_HI,FG control status high byte,Bit Field,-,Direct,R,"02"
Discrete Input,112-119,FG_CONTROL_STATUS_LO,FG control status low byte,Bit Field,-,Direct,R,"02"
Discrete Input,120-127,FG_BATTERY_STATUS_HI,FG battery status high byte,Bit Field,-,Direct,R,"02"
Discrete Input,128-135,FG_BATTERY_STATUS_LO,FG battery status low byte,Bit Field,-,Direct,R,"02"
Discrete Input,136-143,FG_OPERATION_STATUS_HI,FG operation status high byte,Bit Field,-,Direct,R,"02"
Discrete Input,144-151,FG_OPERATION_STATUS_LO,FG operation status low byte,Bit Field,-,Direct,R,"02"
Discrete Input,152-159,FG_GAUGING_STATUS_HI,FG gauging status high byte,Bit Field,-,Direct,R,"02"
Discrete Input,160-167,FG_GAUGING_STATUS_LO,FG gauging status low byte,Bit Field,-,Direct,R,"02"
Discrete Input,168-175,FG_MANUFACTURING_STATUS_HI,FG manufacturing status high byte,Bit Field,-,Direct,R,"02"
Discrete Input,176-183,FG_MANUFACTURING_STATUS_LO,FG manufacturing status low byte,Bit Field,-,Direct,R,"02"
Discrete Input,184-191,UC_REV,Microcontroller revision,Bit Field,-,Direct,R,"02"
Discrete Input,192-199,FG_REV,Fuel gauge revision,Bit Field,-,Direct,R,"02"
Input Register,30010,AFE_CELL_VOLT_1,AFE cell 1 voltage,UInt16,mV,Direct,R,"04"
Input Register,30011,AFE_CELL_VOLT_2,AFE cell 2 voltage,UInt16,mV,Direct,R,"04"
Input Register,30012,AFE_CELL_VOLT_3,AFE cell 3 voltage,UInt16,mV,Direct,R,"04"
Input Register,30013,AFE_CELL_VOLT_5,AFE cell 5 voltage,UInt16,mV,Direct,R,"04"
Input Register,30014,AFE_CELL_VOLT_6,AFE cell 6 voltage,UInt16,mV,Direct,R,"04"
Input Register,30015,AFE_CELL_VOLT_7,AFE cell 7 voltage,UInt16,mV,Direct,R,"04"
Input Register,30016,AFE_CELL_VOLT_8,AFE cell 8 voltage,UInt16,mV,Direct,R,"04"
Input Register,30017,AFE_CELL_VOLT_10,AFE cell 10 voltage,UInt16,mV,Direct,R,"04"
Input Register,30018,AFE_PACK_VOLT,AFE pack voltage,UInt16,mV,÷1,R,"04"
Input Register,30019,AFE_CELL_VOLT_DELTA,AFE cell voltage delta,UInt16,mV,Direct,R,"04"
Input Register,30020,AFE_TEMP1,AFE temperature sensor 1,UInt16,0.1K,Direct,R,"04"
Input Register,30021,AFE_TEMP2,AFE temperature sensor 2,UInt16,0.1K,Direct,R,"04"
Input Register,30022,AFE_CURRENT,AFE current measurement,Int16,mA,÷2,R,"04"
Input Register,30023,AFE_ADC_GAIN,AFE ADC gain,UInt16,-,Direct,R,"04"
Input Register,30024,AFE_ADC_OFFSET,AFE ADC offset,UInt16,-,Direct,R,"04"
Input Register,30025,AFE_OV_LIMIT,AFE overvoltage limit,UInt16,mV,Direct,R,"04"
Input Register,30026,AFE_UV_LIMIT,AFE undervoltage limit,UInt16,mV,Direct,R,"04"
Input Register,30027,FG_STATE_OF_CHARGE,FG state of charge,UInt16,%,Direct,R,"04"
Input Register,30028,FG_VOLTAGE,FG voltage measurement,UInt16,mV,÷1,R,"04"
Input Register,30029,FG_CURRENT,FG current measurement,Int16,mA,÷2,R,"04"
Input Register,30030,FG_TEMPERATURE,FG temperature,UInt16,0.1K,Direct,R,"04"
Input Register,30031,FG_REMAINING_CAPACITY,FG remaining capacity,UInt16,mAh,÷2,R,"04"
Input Register,30032,FG_FULL_CHARGE_CAPACITY,FG full charge capacity,UInt16,mAh,÷2,R,"04"
Input Register,30033,FG_DESIGN_CAPACITY,FG design capacity,UInt16,mAh,÷2,R,"04"
Input Register,30034,FG_AVERAGE_CURRENT,FG average current,Int16,mA,÷2,R,"04"
Input Register,30035,FG_TIME_TO_EMPTY,FG time to empty,UInt16,min,Direct,R,"04"
Input Register,30036,FG_TIME_TO_FULL,FG time to full,UInt16,min,Direct,R,"04"
Input Register,30037,FG_INTERNAL_TEMP,FG internal temperature,UInt16,0.1K,Direct,R,"04"
Input Register,30038,FG_CYCLE_COUNT,FG cycle count,UInt16,cycles,Direct,R,"04"
Input Register,30039,FG_STATE_OF_HEALTH,FG state of health,UInt16,%,Direct,R,"04"
Input Register,30040,FG_CHARGING_VOLTAGE,FG charging voltage,UInt16,mV,÷1,R,"04"
Input Register,30041,FG_CHARGING_CURRENT,FG charging current,UInt16,mA,÷2,R,"04"
Input Register,30042,FG_LIFETIME_MAX_TEMP,FG lifetime max temperature,UInt16,0.1K,Direct,R,"04"
Input Register,30043,FG_LIFETIME_MIN_TEMP,FG lifetime min temperature,UInt16,0.1K,Direct,R,"04"
Input Register,30044,FG_LIFETIME_MAX_CHG_CURR,FG lifetime max charge current,UInt16,mA,÷2,R,"04"
Input Register,30045,FG_LIFETIME_MAX_DSG_CURR,FG lifetime max discharge current,UInt16,mA,÷2,R,"04"
Input Register,30046,FG_LIFETIME_MAX_VOLT,FG lifetime max voltage,UInt16,mV,÷1,R,"04"
Input Register,30047,FG_LIFETIME_MIN_VOLT,FG lifetime min voltage,UInt16,mV,÷1,R,"04"
Input Register,30048,FG_VOLTAGE_DIVIDER,FG voltage divider,UInt16,-,Direct,R,"04"
Input Register,30049,ADC_PACK_VOLT,ADC pack voltage,UInt16,mV,÷1,R,"04"
Input Register,30050,ADC_VREF_INTERNAL,ADC internal reference voltage,UInt16,mV,Direct,R,"04"
Input Register,30051,ADC_TEMP_INTERNAL,ADC internal temperature,UInt16,0.1K,Direct,R,"04"
Input Register,30052,TS_TEMP,Temperature sensor reading,UInt16,0.1K,Direct,R,"04"
Input Register,30053,NVM_SERIAL_NUMBER_HI,NVM serial number high word,UInt16,-,Direct,R,"04"
Input Register,30054,NVM_SERIAL_NUMBER_LO,NVM serial number low word,UInt16,-,Direct,R,"04"
Holding Register,41000,SERIAL_NUMBER_HI,Serial number high word,UInt16,-,Direct,R/W,"03,06,10"
Holding Register,41001,SERIAL_NUMBER_LO,Serial number low word,UInt16,-,Direct,R/W,"03,06,10"
Holding Register,41002,FG_UNSEAL_KEY_HI,FG unseal key high word,UInt16,-,Direct,R/W,"03,06,10"
Holding Register,41003,FG_UNSEAL_KEY_LO,FG unseal key low word,UInt16,-,Direct,R/W,"03,06,10"
Holding Register,41004,FG_FULL_UNSEAL_KEY_HI,FG full unseal key high word,UInt16,-,Direct,R/W,"03,06,10"
Holding Register,41005,FG_FULL_UNSEAL_KEY_LO,FG full unseal key low word,UInt16,-,Direct,R/W,"03,06,10"
Holding Register,41006,FG_APPLIED_VOLTAGE,FG applied voltage for calibration,UInt16,mV,Direct,R/W,"03,06,10"
Holding Register,41007,FG_APPLIED_CURRENT,FG applied current for calibration,Int16,mA,Direct,R/W,"03,06,10"
